Metric,Value
route__drc_errors__iter:2,7
route__wirelength__iter:2,1612940
route__drc_errors__iter:3,0
route__wirelength__iter:3,1612924
route__drc_errors__iter:4,0
route__wirelength__iter:4,1612928
route__drc_errors__iter:5,0
route__wirelength__iter:5,1612811
route__drc_errors,0
route__wirelength,1612924
route__vias,311830
route__vias__singlecut,311830
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1229.78
timing__unannotated_net__count__corner:nom_tt_025C_1v80,306
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,306
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,306
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,1227
design__max_fanout_violation__count__corner:min_tt_025C_1v80,446
design__max_cap_violation__count__corner:min_tt_025C_1v80,5
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.6113171253349682
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4277058550610462
timing__hold__ws__corner:min_tt_025C_1v80,0.33645864824347727
timing__setup__ws__corner:min_tt_025C_1v80,7.925473834873638
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.336459
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.925474
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,306
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,12504
design__max_fanout_violation__count__corner:min_ss_100C_1v60,446
design__max_cap_violation__count__corner:min_ss_100C_1v60,51
